,InternodeDiameter,n_Lamellea,MyelinThickness,CV,InternodeLength
0,0.7,8.0,0.117,2.98887,187
1,0.8,9.0,0.1326,3.1359,187
2,1.0,11.0,0.1638,3.3904,187
3,1.25,13.0,0.195,3.64341085,187
4,1.5,16.0,0.2418,4.80818,187
5,1.75,18.0,0.273,5.7846,187
6,2.0,21.0,0.3198,7.00186,187
7,2.2,23.0,0.351,7.89916,187
8,2.5,26.0,0.3978,9.28395,187
9,2.8,29.0,0.4446,10.65156,187
10,3.0,31.0,0.4758,11.5692,187
11,3.5,36.0,0.5538,13.9259,187
12,4.0,41.0,0.6318,16.277056,187
13,5.0,51.0,0.7878,21.005586,187
14,6.0,61.0,0.9438,25.57823,187
15,7.0,71.0,1.0998,30.32258,187
16,8.0,81.0,1.2558,34.81481,187
17,9.0,91.0,1.4118,39.578947,187
18,10.0,101.0,1.5678,43.72093,187
